source,source_url,collected_at,target_champion_name,target_champion_slug,position,page_role_hint,section,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games,gd15
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,gd15_counter,2,Hecarim,hecarim,,3425,168
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,gd15_counter,3,Briar,briar,,3170,154
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,gd15_counter,4,Talon,talon,,4277,142
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,gd15_counter,5,Jayce,jayce,,1780,124
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,win_rate_counter,1,Karthus,karthus,58.19,897,
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,win_rate_counter,2,Brand,brand,54.33,3131,
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,win_rate_counter,3,Yasuo,yasuo,52.64,910,
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,win_rate_counter,4,Swain,swain,52.59,1253,
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,win_rate_counter,5,Seraphine,seraphine,52.3,1455,
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,gd15_counter,1,Draven,draven,,3676,1083
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,gd15_counter,2,Mel,mel,,1596,720
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,gd15_counter,3,Tristana,tristana,,4024,632
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,gd15_counter,4,Samira,samira,,4047,631
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,,gd15_counter,5,Karthus,karthus,,897,618
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,win_rate_counter,1,Volibear,volibear,53.21,389,
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,win_rate_counter,2,Belveth,belveth,53.09,761,
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,win_rate_counter,3,Briar,briar,52.86,1589,
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,win_rate_counter,4,Aatrox,aatrox,52.8,375,
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,win_rate_counter,5,Shyvana,shyvana,52.4,1416,
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,gd15_counter,1,Khazix,khazix,,2231,658
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,gd15_counter,2,Qiyana,qiyana,,400,625
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,gd15_counter,3,Jayce,jayce,,1028,615
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,gd15_counter,4,Briar,briar,,1589,582
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,,gd15_counter,5,Hecarim,hecarim,,1373,531
