source,source_url,collected_at,target_champion_name,target_champion_slug,position,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games
u.gg,https://u.gg/lol/champions/khazix/counter,2026-06-06T10:27:05.089987+00:00,Khazix,khazix,JUNGLE,2,Rammus,rammus,54.36,539
u.gg,https://u.gg/lol/champions/khazix/counter,2026-06-06T10:27:05.089987+00:00,Khazix,khazix,JUNGLE,3,Rengar,rengar,53.59,2185
u.gg,https://u.gg/lol/champions/khazix/counter,2026-06-06T10:27:05.089987+00:00,Khazix,khazix,JUNGLE,4,Shaco,shaco,53.22,1710
u.gg,https://u.gg/lol/champions/khazix/counter,2026-06-06T10:27:05.089987+00:00,Khazix,khazix,JUNGLE,5,Nocturne,nocturne,52.95,3035
u.gg,https://u.gg/lol/champions/bard/counter,2026-06-06T10:27:07.358251+00:00,Bard,bard,UTILITY,1,Poppy,poppy,52.57,896
u.gg,https://u.gg/lol/champions/bard/counter,2026-06-06T10:27:07.358251+00:00,Bard,bard,UTILITY,2,TahmKench,tahmkench,52.3,1067
u.gg,https://u.gg/lol/champions/bard/counter,2026-06-06T10:27:07.358251+00:00,Bard,bard,UTILITY,3,Thresh,thresh,52.29,6661
u.gg,https://u.gg/lol/champions/bard/counter,2026-06-06T10:27:07.358251+00:00,Bard,bard,UTILITY,4,Maokai,maokai,51.8,888
u.gg,https://u.gg/lol/champions/bard/counter,2026-06-06T10:27:07.358251+00:00,Bard,bard,UTILITY,5,Leona,leona,51.25,3243
u.gg,https://u.gg/lol/champions/aatrox/counter,2026-06-06T10:27:11.007197+00:00,Aatrox,aatrox,TOP,1,Malphite,malphite,55.3,2593
u.gg,https://u.gg/lol/champions/aatrox/counter,2026-06-06T10:27:11.007197+00:00,Aatrox,aatrox,TOP,2,Heimerdinger,heimerdinger,54.3,442
u.gg,https://u.gg/lol/champions/aatrox/counter,2026-06-06T10:27:11.007197+00:00,Aatrox,aatrox,TOP,3,Kennen,kennen,54.29,560
u.gg,https://u.gg/lol/champions/aatrox/counter,2026-06-06T10:27:11.007197+00:00,Aatrox,aatrox,TOP,4,Garen,garen,53.5,2673
u.gg,https://u.gg/lol/champions/aatrox/counter,2026-06-06T10:27:11.007197+00:00,Aatrox,aatrox,TOP,5,MonkeyKing,wukong,53.21,468
