match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8167273224,200,v1_15min,False,420,16.7.760.9485,1366,2026-05-14T19:59:29+00:00,6191,7,3,1,0,98,0.6,-1,1,8,-3
KR_8167035162,100,v1_15min,False,420,16.7.760.9485,1778,2026-05-14T19:59:29+00:00,837,-1,0,1,0,48,0.0,1,0,-4,-2
KR_8167035162,200,v1_15min,True,420,16.7.760.9485,1778,2026-05-14T19:59:29+00:00,-837,1,0,-1,0,-48,0.0,-1,0,4,2
KR_8166950853,100,v1_15min,False,420,16.7.760.9485,2152,2026-05-14T19:59:29+00:00,1611,5,1,2,0,-7,0.2,1,1,1,-3
KR_8166950853,200,v1_15min,False,420,16.7.760.9485,2152,2026-05-14T19:59:29+00:00,-1611,-5,-1,-2,0,7,-0.2,-1,-1,-1,3
KR_8166897899,100,v1_15min,False,420,16.7.760.9485,1439,2026-05-14T19:59:29+00:00,2594,6,1,-2,0,-4,0.6,1,1,7,-3
KR_8166897899,200,v1_15min,False,420,16.7.760.9485,1439,2026-05-14T19:59:29+00:00,-2594,-6,-1,2,0,4,-0.6,-1,-1,-7,3
KR_8166827721,100,v1_15min,False,420,16.7.760.9485,2272,2026-05-14T19:59:29+00:00,3066,9,1,-1,0,20,0.2,-1,1,-31,6
KR_8166827721,200,v1_15min,False,420,16.7.760.9485,2272,2026-05-14T19:59:29+00:00,-3066,-9,-1,1,0,-20,-0.2,1,-1,31,-6
KR_8165776665,100,v1_15min,False,420,16.7.760.9485,2301,2026-05-14T19:59:29+00:00,-2979,-4,0,-1,0,-23,-0.8,-1,0,-5,3
KR_8165776665,200,v1_15min,False,420,16.7.760.9485,2301,2026-05-14T19:59:29+00:00,2979,4,0,1,0,23,0.8,1,0,5,-3
KR_8165667417,100,v1_15min,False,420,16.7.760.9485,1607,2026-05-14T19:59:29+00:00,-4347,-5,-1,0,0,-54,-0.2,-1,-1,4,-3
KR_8165667417,200,v1_15min,False,420,16.7.760.9485,1607,2026-05-14T19:59:29+00:00,4347,5,1,0,0,54,0.2,1,1,-4,3
KR_8164503965,100,v1_15min,False,420,16.7.760.9485,1578,2026-05-14T19:59:29+00:00,-1174,0,-1,1,0,-51,-0.4,1,-1,1,5
KR_8164503965,200,v1_15min,False,420,16.7.760.9485,1578,2026-05-14T19:59:29+00:00,1174,0,1,-1,0,51,0.4,-1,1,-1,-5
KR_8164474372,100,v1_15min,False,420,16.7.760.9485,2645,2026-05-14T19:59:29+00:00,1137,-5,0,-1,0,59,0.0,1,0,12,-1
KR_8164474372,200,v1_15min,False,420,16.7.760.9485,2645,2026-05-14T19:59:29+00:00,-1137,5,0,1,0,-59,0.0,-1,0,-12,1
